same_source_D,different_source_D,delta,n_sources
0.5268090393897816,0.9015213526837943,0.37471231329401267,5
0.8884228135402241,1.0585360996656643,0.1701132861254402,3
0.7246213755747601,1.0726539707677223,0.34803259519296215,3
0.9934038190494737,1.0223062277551442,0.028902408705670513,3
0.6923718359526252,1.1807379951788277,0.4883661592262025,3
0.8292377778954837,1.0144979804875893,0.18526020259210563,5
0.9497537414849196,1.0331439916964145,0.08339025021149482,3
0.7123648646138514,0.988562900921868,0.27619803630801665,3
0.6757738019629957,0.9277543579903134,0.2519805560273176,3
0.800448368379517,0.9727578952068897,0.17230952682737266,3
0.7934276174671572,0.935760272618903,0.14233265515174587,3
0.8879456006797091,0.9615929871137754,0.07364738643406632,3
0.706351368402514,0.9119339381988747,0.2055825697963607,3
0.7942746580530686,0.8748391307127978,0.08056447265972921,3
0.6289091119975126,0.8707842848667627,0.2418751728692501,3
0.9113588105118047,0.9384681121759367,0.027109301664132057,3
0.7838622784621831,0.9600984267093073,0.1762361482471242,3
0.9685829125148735,0.9457899646931661,-0.022792947821707377,3
0.9612316291874294,1.0990229281642658,0.1377912989768364,3
0.8699543943211081,0.9976452548000798,0.1276908604789717,3
1.164658261262371,1.066982595785405,-0.09767566547696593,3
0.8443701866344956,1.1191561970908293,0.27478601045633366,3
0.9538772553916204,1.0282160994808145,0.07433884408919411,3
0.8942251262950061,1.052879943802942,0.15865481750793586,3
1.0667293076717057,1.0289388091371738,-0.03779049853453187,3
0.7352242198457138,1.019807073229736,0.2845828533840221,4
0.8219736219908901,1.1153470130508516,0.2933733910599615,3
0.8366992645287976,0.9880400602876831,0.15134079575888548,3
0.9183900811276688,0.9212527427680953,0.002862661640426478,3
1.0678303431297438,0.9640023817856924,-0.10382796134405137,3
0.48560894944444755,1.0170639794455913,0.5314550300011438,3
0.637396199100145,1.0312491988103278,0.39385299971018284,3
0.8147075310189317,1.073617402491628,0.2589098714726964,3
0.6865073456845328,1.027073983092321,0.34056663740778825,3
0.9068600399750977,0.9368044344183982,0.029944394443300548,3
0.9577284115322379,1.0767606874699094,0.11903227593767152,3
0.9216660580342462,1.0714551114416555,0.14978905340740933,3
0.9082612584227959,1.043632710132765,0.135371451709969,3
0.592865885363708,1.193302841070609,0.600436955706901,3
0.7771267081578168,0.9659889184048485,0.18886221024703165,3
0.7919134205911394,1.0089406509687897,0.21702723037765026,3
1.1648681714539422,1.0194509366962667,-0.14541723475767543,3
0.8130845558224877,0.8137320407738482,0.0006474849513604664,3
0.9800941808949304,0.9143529410186169,-0.06574123987631353,3
0.9661863637219752,0.9698744247533865,0.0036880610314112827,3
0.6355533020926679,0.8916655997412972,0.2561122976486293,3
0.7885757851206867,0.9029692772534158,0.11439349213272909,3
0.7035734363964155,0.8818381185997437,0.17826468220332825,3
0.8419543322996126,0.9510262063064557,0.10907187400684315,3
0.8155138641446582,0.8976018595719746,0.08208799542731637,3
0.9497390825029821,1.0351933675352887,0.08545428503230657,3
0.8009364763150147,1.025252168579122,0.2243156922641073,3
0.9009487229855848,0.8680456807473063,-0.03290304223827856,3
0.7421966871416513,1.067842135245781,0.32564544810412965,3
0.6962644546849314,1.0648145809405132,0.3685501262555818,4
0.29476371318431394,0.6254261281787736,0.3306624149944597,3
0.9941166850810852,1.0046332149817891,0.010516529900703953,3
0.10446149548431767,0.3993945483658134,0.29493305288149574,3
