within_source_D,across_source_D,n_sources
0.568288304011027,0.7683144092559815,5
0.6929044591055975,1.117720087369283,3
0.5925721724828085,1.0677417516708374,3
0.9438312583499485,1.0472783247629802,3
0.7198031478457981,1.305816690127055,3
0.8289756218592327,1.0717841386795044,5
0.9179682069354587,0.9314929644266764,3
0.5953201585345798,0.9515117804209391,3
0.7643546130922104,0.8257528940836588,3
0.8193458398183187,1.0079671144485474,3
0.570409205224779,0.8443416754404703,3
0.7451035579045614,0.9671481450398763,3
0.5389974249733819,0.8732639153798422,3
0.6847923729154798,0.784509023030599,3
0.5947401920954386,0.8037762641906738,3
0.7527465687857733,0.8612688382466634,3
0.5787375847498576,0.9223795731862386,3
0.9390462305810717,0.8422466913859049,3
0.7793665991889105,1.2397698561350505,3
0.7731549872292413,0.9957833290100098,3
1.1646582285563152,1.1598031520843506,3
0.666945735613505,1.209043840567271,3
0.8211033476723566,1.0750248432159424,3
0.7292502853605481,1.0904250144958496,3
1.066729187965393,1.0685458580652873,3
0.7936475147803626,1.0313276648521423,4
0.5955741008122762,1.1923502286275227,3
0.9289187259144254,0.974722703297933,3
0.7494305703375076,0.8288091023763021,3
0.9745376242531671,0.9402156670888265,3
0.4307507541444566,1.0300387144088745,3
0.6373960574467977,1.0270373026529949,3
0.7622801264127096,1.133255124092102,3
0.8567785422007242,1.0986229181289673,3
0.7162987258699204,0.9042299588521322,3
0.8802575667699178,1.1245794296264648,3
0.6974664330482483,1.174352486928304,3
0.7896820041868421,1.0344254970550537,3
0.5928659439086914,1.2679654757181804,3
0.7771257162094116,0.9528876145680746,3
0.7856908361117045,0.9918075799942017,3
1.1648687521616619,1.0550399621327717,3
0.6068274445003934,0.5983970959981282,3
0.9498108294275073,0.7873274485270182,3
1.0784143077002633,0.845939040184021,3
0.6613737609651354,0.8880780537923177,3
0.7496424979633756,0.7811876932779948,3
0.6908371448516846,0.9140737454096476,3
0.9650756849182976,0.8970106840133667,3
0.7438475290934244,0.7957574526468912,3
0.7007334232330322,1.0639863808949788,3
0.6081943511962891,1.0766051610310872,3
0.7497676478491889,0.6789387861887615,3
0.4790683719846937,1.131635069847107,3
0.8606094731224908,1.0103069345156352,4
0.15941147009531656,0.5259259541829426,3
0.761774804857042,0.9964250326156616,3
0.1574401060740153,0.36233154932657874,3
0.6501129468282064,0.8778077761332194,3
0.5039082765579224,0.8872470458348592,3
0.3514790932337443,1.0343305269877117,3
0.5572544071409437,1.0079169670740764,3
0.8017755879296197,0.7808895905812582,3
0.7785897586080764,1.1715563734372456,3
0.9338983098665873,0.8175663948059082,3
0.7688097953796387,1.095098654429118,3
0.8904098338550991,0.7074120839436848,3
0.9669135544035169,0.8849409421284994,3
0.8014398217201233,1.123820185661316,3
0.9021657639079624,0.8323080539703369,3
0.5686081912782458,1.209755003452301,3
0.6367364989386665,0.8100401560465494,3
0.7910848988427057,1.1427932580312092,3
0.5589843591054281,1.1685260931650798,3
0.7741525967915853,0.9873375097910563,3
0.5353515413072374,1.2094885508219402,3
0.5955646435419718,0.8932939370473226,3
0.6425823900434706,0.9853388071060181,3
0.637920512093438,1.183562437693278,3
0.6056646903355917,1.0555302302042644,3
0.4934000227186415,0.5951359272003174,3
1.255902608235677,1.068103035291036,3
0.8657998773786758,0.8482820192972819,3
0.902590831120809,1.2165060838063557,3
0.6902187267939249,1.0352989832560222,3
0.8181738720999824,1.2326407233874004,3
0.671371857325236,0.986617644627889,3
0.2963898579279582,0.855109969774882,3
