compound,n_sources,raw_instability,ablated_instability
JCP2022_000005,5,0.7683144310788668,0.7807794755846527
JCP2022_000011,5,1.0009846266393736,0.9974769195085798
JCP2022_000016,5,0.7958242083684477,0.796158813084736
JCP2022_000022,5,0.9616490475022244,0.9585718158738941
JCP2022_000023,5,0.7244141214013314,0.7152661649902832
JCP2022_000024,5,0.986774559774119,0.9853638664722312
JCP2022_000028,5,0.9219945701986626,0.9190101291219244
JCP2022_000035,5,0.9096109450025324,0.9101891433451809
JCP2022_000036,9,1.0062250475662229,1.0114598980437723
JCP2022_000041,5,0.7820856644548473,0.7772726484645072
JCP2022_000043,5,0.8799418817802543,0.8669454300147277
JCP2022_000047,5,0.8430034587601642,0.8540112498104229
JCP2022_000055,5,0.9425105751004246,0.9433232963201941
JCP2022_000061,5,0.9761906298949986,0.9748354201642844
JCP2022_000069,5,0.8858152048964847,0.8837073174572426
JCP2022_000072,5,1.0344324743619127,1.0337274974658242
JCP2022_000074,5,0.8982882028975985,0.9017723287864815
JCP2022_000076,5,1.1372595585439347,1.1461782502430684
JCP2022_000077,5,0.959776546585975,0.9624928170562109
JCP2022_000078,5,1.0980754138813593,1.10625487071502
JCP2022_000084,5,0.9654109516897642,0.9661192918642807
JCP2022_000085,5,1.0429132389435503,1.055261796703603
JCP2022_000089,5,0.9489132490356125,0.9474469327229376
JCP2022_000090,5,0.9861459443572083,0.9839718913373313
JCP2022_000091,5,0.9866704621021422,0.985087154237472
JCP2022_000095,5,0.9835362274659329,0.9781619426518422
JCP2022_000104,5,0.8955598730839893,0.8992254518841288
JCP2022_000106,5,0.9269371772091173,0.9365378480244594
JCP2022_000107,5,1.0510531956459832,1.0618208171477646
JCP2022_000113,5,0.9119237326039555,0.9051628749531144
JCP2022_000117,5,0.8864867605098439,0.8739829767170306
JCP2022_000118,5,0.9069293805494735,0.9021439793440102
JCP2022_000122,5,1.047755211062405,1.050741925194694
JCP2022_000123,6,0.9157028010612313,0.9109776376234012
JCP2022_000125,5,0.9088660951434862,0.9127600169539065
JCP2022_000133,5,0.44778312695167666,0.43423614774371766
